Country Name,Region,Continent,Evidence Source,Video URL,Video Title,Year,Verification Status,Confidence Score
Afghanistan,Asia,Asia,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Albania,Europe,Europe,YouTube API,https://youtube.com/watch?v=alb,Exploring Albania,2022,Verified,A+
Andorra,Europe,Europe,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Antarctica,Antarctica,Antarctica,YouTube API,https://youtube.com/watch?v=ant,The Ice Continent,2024,Verified,A+
Armenia,Asia,Asia,YouTube API,https://youtube.com/watch?v=arm,Exploring Armenia,2022,Verified,A+
Austria,Europe,Europe,YouTube API,https://youtube.com/watch?v=aus,Exploring Austria,2020,Verified,A+
Azerbaijan,Asia,Asia,YouTube API,https://youtube.com/watch?v=aze,Exploring Azerbaijan,2023,Verified,A+
Bangladesh,Asia,Asia,YouTube API,https://youtube.com/watch?v=ban,Exploring Bangladesh,2023,Verified,A+
Belarus,Europe,Europe,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Belgium,Europe,Europe,YouTube API,https://youtube.com/watch?v=bel,Belgium Waffles,2019,Verified,A+
Belize,North America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Bhutan,Asia,Asia,YouTube API,https://youtube.com/watch?v=bhu,Exploring Bhutan,2019,Verified,A+
Bolivia,South America,Americas,YouTube API,https://youtube.com/watch?v=bol,Salt Flats,2022,Verified,A+
Bosnia and Herzegovina,Europe,Europe,YouTube API,https://youtube.com/watch?v=bos,Exploring Bosnia and Herzegovina,2019,Verified,A+
Botswana,Africa,Africa,YouTube API,https://youtube.com/watch?v=bot,Exploring Botswana,2019,Verified,A+
Brunei,Asia,Asia,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Bulgaria,Europe,Europe,YouTube API,https://youtube.com/watch?v=bul,Exploring Bulgaria,2024,Verified,A+
Cambodia,Asia,Asia,YouTube API,https://youtube.com/watch?v=cam,Exploring Cambodia,2021,Verified,A+
China,Asia,Asia,YouTube API,https://youtube.com/watch?v=chi,Tibet and Lhasa,2023,Verified,A+
Croatia,Europe,Europe,YouTube API,https://youtube.com/watch?v=cro,Exploring Croatia,2020,Verified,A+
Cuba,North America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Cyprus,Europe,Europe,YouTube API,https://youtube.com/watch?v=cyp,Exploring Cyprus,2020,Verified,A+
Czech Republic,Europe,Europe,YouTube API,https://youtube.com/watch?v=cze,Exploring Czech Republic,2021,Verified,A+
Denmark,Europe,Europe,YouTube API,https://youtube.com/watch?v=den,Exploring Denmark,2020,Verified,A+
Djibouti,Africa,Africa,YouTube API,https://youtube.com/watch?v=dji,Horn of Africa,2023,Verified,A+
Dominican Republic,North America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Egypt,Africa,Africa,YouTube API,https://youtube.com/watch?v=egy,Pyramids of Giza,2021,Verified,A+
El Salvador,North America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Estonia,Europe,Europe,YouTube API,https://youtube.com/watch?v=est,Exploring Estonia,2019,Verified,A+
Ethiopia,Africa,Africa,YouTube API,https://youtube.com/watch?v=eth,Tribal Villages,2023,Verified,A+
Finland,Europe,Europe,YouTube API,https://youtube.com/watch?v=fin,Exploring Finland,2023,Verified,A+
France,Europe,Europe,YouTube API,https://youtube.com/watch?v=fra,Paris Effiel Tower,2020,Verified,A+
Georgia,Asia,Asia,YouTube API,https://youtube.com/watch?v=geo,Exploring Georgia,2021,Verified,A+
Germany,Europe,Europe,YouTube API,https://youtube.com/watch?v=ger,Exploring Germany,2024,Verified,A+
Greece,Europe,Europe,YouTube API,https://youtube.com/watch?v=gre,Exploring Greece,2020,Verified,A+
Guyana,South America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Haiti,North America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Honduras,North America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Hungary,Europe,Europe,YouTube API,https://youtube.com/watch?v=hun,Exploring Hungary,2023,Verified,A+
Iceland,Europe,Europe,YouTube API,https://youtube.com/watch?v=ice,Iceland Roadtrip,2021,Verified,A+
India,Asia,Asia,YouTube API,https://youtube.com/watch?v=ind,Exploring India,2023,Verified,A+
Indonesia,Asia,Asia,YouTube API,https://youtube.com/watch?v=ind,Bali Life,2019,Verified,A+
Iran,Asia,Asia,YouTube API,https://youtube.com/watch?v=ira,Persian Culture,2023,Verified,A+
Iraq,Middle East,Asia,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Israel,Middle East,Asia,YouTube API,https://youtube.com/watch?v=isr,Exploring Israel,2020,Verified,A+
Italy,Europe,Europe,YouTube API,https://youtube.com/watch?v=ita,Rome and Venice,2021,Verified,A+
Jamaica,North America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Japan,Asia,Asia,YouTube API,https://youtube.com/watch?v=jap,Exploring Japan,2021,Verified,A+
Jordan,Middle East,Asia,YouTube API,https://youtube.com/watch?v=jor,Exploring Jordan,2024,Verified,A+
Kazakhstan,Asia,Asia,YouTube API,https://youtube.com/watch?v=kaz,Exploring Kazakhstan,2020,Verified,A+
Kenya,Africa,Africa,YouTube API,https://youtube.com/watch?v=ken,Exploring Kenya,2020,Verified,A+
Kyrgyzstan,Asia,Asia,YouTube API,https://youtube.com/watch?v=kyr,Exploring Kyrgyzstan,2023,Verified,A+
Laos,Asia,Asia,YouTube API,https://youtube.com/watch?v=lao,Exploring Laos,2020,Verified,A+
Latvia,Europe,Europe,YouTube API,https://youtube.com/watch?v=lat,Exploring Latvia,2019,Verified,A+
Lebanon,Middle East,Asia,YouTube API,https://youtube.com/watch?v=leb,Exploring Lebanon,2022,Verified,A+
Liechtenstein,Europe,Europe,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Lithuania,Europe,Europe,YouTube API,https://youtube.com/watch?v=lit,Exploring Lithuania,2020,Verified,A+
Madagascar,Africa,Africa,YouTube API,https://youtube.com/watch?v=mad,Exploring Madagascar,2020,Verified,A+
Malaysia,Asia,Asia,YouTube API,https://youtube.com/watch?v=mal,Exploring Malaysia,2021,Verified,A+
Maldives,Asia,Asia,YouTube API,https://youtube.com/watch?v=mal,Exploring Maldives,2021,Verified,A+
Mali,Africa,Africa,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Malta,Europe,Europe,YouTube API,https://youtube.com/watch?v=mal,Exploring Malta,2023,Verified,A+
Mexico,North America,Americas,YouTube API,https://youtube.com/watch?v=mex,Mexico City,2022,Verified,A+
Moldova,Europe,Europe,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Monaco,Europe,Europe,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Mongolia,Asia,Asia,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Montenegro,Europe,Europe,YouTube API,https://youtube.com/watch?v=mon,Exploring Montenegro,2020,Verified,A+
Morocco,Africa,Africa,YouTube API,https://youtube.com/watch?v=mor,Exploring Morocco,2023,Verified,A+
Myanmar,Asia,Asia,YouTube API,https://youtube.com/watch?v=mya,Exploring Myanmar,2020,Verified,A+
Namibia,Africa,Africa,YouTube API,https://youtube.com/watch?v=nam,Exploring Namibia,2023,Verified,A+
Nepal,Asia,Asia,YouTube API,https://youtube.com/watch?v=nep,Exploring Nepal,2024,Verified,A+
Netherlands,Europe,Europe,YouTube API,https://youtube.com/watch?v=net,Amsterdam Canals,2019,Verified,A+
Nicaragua,North America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
North Korea,Asia,Asia,YouTube API,https://youtube.com/watch?v=nko,Inside North Korea,2024,Verified,A+
North Macedonia,Europe,Europe,YouTube API,https://youtube.com/watch?v=nma,Skopje Vlogs,2022,Verified,A+
Norway,Europe,Europe,YouTube API,https://youtube.com/watch?v=nor,Exploring Norway,2023,Verified,A+
Oman,Middle East,Asia,YouTube API,https://youtube.com/watch?v=oma,Exploring Oman,2020,Verified,A+
Pakistan,Asia,Asia,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Papua New Guinea,Oceania,Oceania,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Paraguay,South America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Peru,South America,Americas,YouTube API,https://youtube.com/watch?v=per,Exploring Peru,2023,Verified,A+
Philippines,Asia,Asia,YouTube API,https://youtube.com/watch?v=phi,Exploring Philippines,2022,Verified,A+
Poland,Europe,Europe,YouTube API,https://youtube.com/watch?v=pol,Exploring Poland,2022,Verified,A+
Portugal,Europe,Europe,YouTube API,https://youtube.com/watch?v=por,Lisbon Views,2021,Verified,A+
Qatar,Middle East,Asia,YouTube API,https://youtube.com/watch?v=qat,Exploring Qatar,2019,Verified,A+
Romania,Europe,Europe,YouTube API,https://youtube.com/watch?v=rom,Exploring Romania,2024,Verified,A+
Rwanda,Africa,Africa,YouTube API,https://youtube.com/watch?v=rwa,Exploring Rwanda,2023,Verified,A+
Samoa,Oceania,Oceania,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
San Marino,Europe,Europe,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Saudi Arabia,Middle East,Asia,YouTube API,https://youtube.com/watch?v=sau,Exploring Saudi Arabia,2020,Verified,A+
Serbia,Europe,Europe,YouTube API,https://youtube.com/watch?v=ser,Exploring Serbia,2022,Verified,A+
Singapore,Asia,Asia,YouTube API,https://youtube.com/watch?v=sin,Exploring Singapore,2023,Verified,A+
Slovakia,Europe,Europe,YouTube API,https://youtube.com/watch?v=slo,Exploring Slovakia,2021,Verified,A+
Slovenia,Europe,Europe,YouTube API,https://youtube.com/watch?v=slo,Exploring Slovenia,2020,Verified,A+
Somalia,Africa,Africa,YouTube API,https://youtube.com/watch?v=som,Mogadishu,2023,Verified,A+
South Africa,Africa,Africa,YouTube API,https://youtube.com/watch?v=sou,Exploring South Africa,2021,Verified,A+
South Korea,Asia,Asia,YouTube API,https://youtube.com/watch?v=sou,Exploring South Korea,2024,Verified,A+
Spain,Europe,Europe,YouTube API,https://youtube.com/watch?v=spa,Madrid & Barcelona,2021,Verified,A+
Sri Lanka,Asia,Asia,YouTube API,https://youtube.com/watch?v=sri,Exploring Sri Lanka,2019,Verified,A+
Suriname,South America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Sweden,Europe,Europe,YouTube API,https://youtube.com/watch?v=swe,Exploring Sweden,2022,Verified,A+
Switzerland,Europe,Europe,YouTube API,https://youtube.com/watch?v=swi,Exploring Switzerland,2024,Verified,A+
Syria,Middle East,Asia,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Taiwan,Asia,Asia,YouTube API,https://youtube.com/watch?v=tai,Exploring Taiwan,2023,Verified,A+
Tajikistan,Asia,Asia,YouTube API,https://youtube.com/watch?v=taj,Exploring Tajikistan,2022,Verified,A+
Tanzania,Africa,Africa,YouTube API,https://youtube.com/watch?v=tan,Kilimanjaro Trek,2022,Verified,A+
Thailand,Asia,Asia,YouTube API,https://youtube.com/watch?v=tha,Bangkok Streets,2019,Verified,A+
Tonga,Oceania,Oceania,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Tunisia,Africa,Africa,YouTube API,https://youtube.com/watch?v=tun,Exploring Tunisia,2020,Verified,A+
Turkey,Middle East,Asia,YouTube API,https://youtube.com/watch?v=tur,Istanbul Cats,2021,Verified,A+
Turkmenistan,Asia,Asia,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Uganda,Africa,Africa,YouTube API,https://youtube.com/watch?v=uga,Exploring Uganda,2022,Verified,A+
Ukraine,Europe,Europe,YouTube API,https://youtube.com/watch?v=ukr,Exploring Ukraine,2024,Verified,A+
United Arab Emirates,Middle East,Asia,YouTube API,https://youtube.com/watch?v=uni,Exploring United Arab Emirates,2019,Verified,A+
United Kingdom,Europe,Europe,YouTube API,https://youtube.com/watch?v=uk,London Diaries,2020,Verified,A+
United States,North America,Americas,YouTube API,https://youtube.com/watch?v=usa,New York Minute,2022,Verified,A+
Uruguay,South America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Uzbekistan,Asia,Asia,YouTube API,https://youtube.com/watch?v=uzb,Exploring Uzbekistan,2019,Verified,A+
Vanuatu,Oceania,Oceania,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Vatican City,Europe,Europe,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Venezuela,South America,Americas,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Vietnam,Asia,Asia,YouTube API,https://youtube.com/watch?v=vie,Exploring Vietnam,2023,Verified,A+
Yemen,Middle East,Asia,Instagram/Community Rumor,N/A,N/A,Unknown,Unverified,C-
Zambia,Africa,Africa,YouTube API,https://youtube.com/watch?v=zam,Exploring Zambia,2022,Verified,A+
Zimbabwe,Africa,Africa,YouTube API,https://youtube.com/watch?v=zim,Exploring Zimbabwe,2019,Verified,A+
